Vehicle_ID,Vehicle_Type,Timestamp,Direction
2,Car,0.13,Down
14,Car,0.75,Down
4,Car,1.04,Down
9,Car,1.38,Down
12,Car,1.88,Down
7,Car,2.38,Down
39,Car,2.67,Down
3,Car,3.21,Down
32,Car,4.5,Down
22,Car,6.17,Down
21,Car,6.42,Down
66,Car,6.97,Down
10,Truck,7.17,Down
75,Car,7.51,Down
82,Car,7.55,Down
49,Car,9.26,Down
81,Car,10.59,Down
87,Car,11.05,Down
86,Car,11.18,Down
108,Car,11.43,Down
104,Car,11.97,Down
114,Car,12.51,Down
112,Car,12.64,Down
94,Car,13.26,Down
129,Car,13.68,Down
131,Car,14.93,Down
115,Car,14.97,Down
127,Car,15.93,Down
96,Car,16.6,Down
136,Truck,17.1,Down
144,Car,17.56,Down
145,Car,18.44,Down
138,Car,19.81,Down
149,Car,19.81,Down
159,Car,20.73,Down
172,Car,20.81,Down
170,Car,21.48,Down
178,Car,22.15,Down
179,Car,23.06,Down
194,Car,24.07,Down
202,Car,25.32,Down
181,Car,25.9,Down
182,Car,26.11,Down
210,Car,26.11,Down
203,Car,26.53,Down
185,Car,27.32,Down
