Vehicle_ID,Vehicle_Type,Timestamp,Direction
5,Car,0.17,Down
6,Car,0.79,Down
7,Car,1.04,Down
35,Truck,1.33,Down
3,Car,1.38,Down
17,Truck,1.88,Down
9,Car,2.29,Down
16,Car,2.42,Down
27,Car,2.67,Down
4,Car,3.09,Down
23,Car,4.21,Down
11,Car,4.34,Down
39,Car,6.09,Down
12,Car,6.17,Down
14,Car,6.46,Down
49,Car,7.01,Down
10,Truck,7.17,Down
20,Car,7.55,Down
54,Car,7.55,Down
63,Truck,7.63,Down
50,Car,8.3,Down
42,Car,9.93,Down
61,Car,10.55,Down
58,Car,11.09,Down
81,Car,11.18,Down
117,Car,11.39,Down
118,Car,11.97,Down
76,Car,12.55,Down
122,Car,12.64,Down
115,Car,12.68,Down
74,Car,13.05,Down
171,Car,13.68,Down
131,Car,14.97,Down
151,Car,14.97,Down
140,Car,15.93,Down
116,Car,16.64,Down
155,Truck,17.06,Down
222,Car,17.14,Down
207,Car,17.56,Down
220,Car,18.48,Down
214,Car,19.27,Down
229,Car,19.56,Down
149,Car,19.85,Down
238,Car,20.6,Down
236,Truck,20.69,Down
216,Car,20.77,Down
257,Car,20.81,Down
245,Car,21.52,Down
280,Car,22.19,Down
240,Car,22.23,Down
266,Car,22.4,Down
292,Car,22.48,Down
268,Car,23.69,Down
299,Car,24.11,Down
272,Car,24.98,Down
284,Car,25.19,Down
256,Car,25.9,Down
297,Car,26.11,Down
316,Car,26.11,Down
320,Car,26.57,Down
286,Car,27.36,Down
